distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.732891,0.039846,2,4.961598,-2.027446,-33.497935,24.965890
0.736592,0.034243,2,4.965008,-2.028886,-33.494550,24.964404
0.740294,0.028735,2,4.968418,-2.030326,-33.491166,24.962917
0.743995,0.025387,0,4.971828,-2.031766,-33.487781,24.961431
0.747697,0.022896,0,4.975238,-2.033205,-33.484397,24.959945
0.751398,0.019069,0,4.978648,-2.034645,-33.481012,24.958459
0.755100,0.012349,0,4.982058,-2.036085,-33.477628,24.956972
0.758801,0.004376,0,4.985468,-2.037525,-33.474244,24.955486
0.762502,-0.000555,0,4.988878,-2.038964,-33.470859,24.954000
0.766204,-0.002680,0,4.992288,-2.040404,-33.467475,24.952513
0.769905,-0.001724,0,4.995698,-2.041844,-33.464090,24.951027
0.773607,0.001289,0,4.999108,-2.043284,-33.460706,24.949541
0.777308,0.002203,0,5.002518,-2.044723,-33.457321,24.948054
0.781010,0.001090,0,5.005928,-2.046163,-33.453937,24.946568
0.784711,-0.001410,0,5.009338,-2.047603,-33.450553,24.945082
0.788413,-0.004833,0,5.012748,-2.049043,-33.447168,24.943595
0.792114,-0.007587,0,5.016158,-2.050483,-33.443784,24.942109
0.795816,-0.009755,0,5.019568,-2.051922,-33.440399,24.940623
0.799517,-0.010448,0,5.022978,-2.053362,-33.437015,24.939137
0.803219,-0.010243,0,5.026388,-2.054802,-33.433630,24.937650
0.806920,-0.009753,0,5.029798,-2.056242,-33.430246,24.936164
0.810622,-0.008087,0,5.033208,-2.057681,-33.426862,24.934678
0.814323,-0.006104,0,5.036618,-2.059121,-33.423477,24.933191
0.818024,-0.004113,0,5.040028,-2.060561,-33.420093,24.931705
0.821726,-0.000857,0,5.043438,-2.062001,-33.416708,24.930219
0.825427,0.002261,0,5.046848,-2.063440,-33.413324,24.928732
0.829129,0.004105,0,5.050258,-2.064880,-33.409939,24.927246
0.832830,0.004523,0,5.053668,-2.066320,-33.406555,24.925760
0.836532,0.003537,0,5.057078,-2.067760,-33.403170,24.924274
0.840233,0.000194,0,5.060488,-2.069199,-33.399786,24.922787
0.843935,-0.004231,0,5.063898,-2.070639,-33.396402,24.921301
0.847636,-0.008283,0,5.067308,-2.072079,-33.393017,24.919815
0.851338,-0.011006,0,5.070718,-2.073519,-33.389633,24.918328
0.855039,-0.011287,0,5.074128,-2.074959,-33.386248,24.916842
0.858741,-0.009365,0,5.077538,-2.076398,-33.382864,24.915356
0.862442,-0.007661,0,5.080948,-2.077838,-33.379479,24.913869
0.866144,-0.007184,0,5.084358,-2.079278,-33.376095,24.912383
0.869845,-0.009114,0,5.087768,-2.080718,-33.372711,24.910897
0.873546,-0.013440,0,5.091178,-2.082157,-33.369326,24.909411
0.877248,-0.018121,0,5.094588,-2.083597,-33.365942,24.907924
0.880949,-0.022042,0,5.097997,-2.085037,-33.362557,24.906438
0.884651,-0.023999,0,5.101407,-2.086477,-33.359173,24.904952
0.888352,-0.022272,0,5.104817,-2.087916,-33.355788,24.903465
0.892054,-0.018838,0,5.108227,-2.089356,-33.352404,24.901979
