distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.326069,-0.023041,2,3.776263,-3.295979,-50.294482,-0.149210
0.329775,-0.023924,2,3.772988,-3.297711,-50.297755,-0.150897
0.333480,-0.024568,2,3.769712,-3.299444,-50.301028,-0.152585
0.337185,-0.024235,2,3.766437,-3.301176,-50.304300,-0.154272
0.340891,-0.023191,2,3.763162,-3.302909,-50.307573,-0.155960
0.344596,-0.021380,2,3.759886,-3.304641,-50.310846,-0.157648
0.348301,-0.019203,2,3.756611,-3.306374,-50.314118,-0.159335
0.352007,-0.017628,2,3.753336,-3.308106,-50.317391,-0.161023
0.355712,-0.015778,2,3.750060,-3.309839,-50.320664,-0.162710
0.359417,-0.014010,2,3.746785,-3.311571,-50.323936,-0.164398
0.363123,-0.013121,2,3.743510,-3.313304,-50.327209,-0.166085
0.366828,-0.012238,2,3.740234,-3.315036,-50.330482,-0.167773
0.370533,-0.011982,2,3.736959,-3.316769,-50.333754,-0.169460
0.374239,-0.012737,2,3.733684,-3.318501,-50.337027,-0.171148
0.377944,-0.013000,2,3.730408,-3.320234,-50.340299,-0.172835
0.381649,-0.013561,2,3.727133,-3.321966,-50.343572,-0.174523
0.385355,-0.013971,2,3.723857,-3.323699,-50.346845,-0.176210
0.389060,-0.013625,2,3.720582,-3.325431,-50.350117,-0.177898
0.392765,-0.012273,2,3.717307,-3.327164,-50.353390,-0.179585
0.396471,-0.010922,2,3.714031,-3.328896,-50.356663,-0.181273
0.400176,-0.010081,2,3.710756,-3.330629,-50.359935,-0.182960
0.403881,-0.010600,2,3.707481,-3.332361,-50.363208,-0.184648
0.407587,-0.011484,2,3.704205,-3.334094,-50.366481,-0.186335
0.411292,-0.012809,2,3.700930,-3.335826,-50.369753,-0.188023
0.414997,-0.014650,2,3.697655,-3.337559,-50.373026,-0.189710
0.418703,-0.017407,2,3.694379,-3.339291,-50.376299,-0.191398
0.422408,-0.020088,2,3.691104,-3.341024,-50.379571,-0.193085
0.426113,-0.024503,2,3.687829,-3.342756,-50.382844,-0.194773
0.429819,-0.028601,2,3.684553,-3.344489,-50.386117,-0.196460
0.433524,-0.032550,2,3.681278,-3.346221,-50.389389,-0.198148
0.437229,-0.035712,2,3.678003,-3.347954,-50.392662,-0.199835
0.440935,-0.037335,2,3.674727,-3.349686,-50.395935,-0.201523
0.444640,-0.036356,2,3.671452,-3.351419,-50.399207,-0.203210
0.448345,-0.034588,2,3.668176,-3.353151,-50.402480,-0.204898
0.452051,-0.032910,2,3.664901,-3.354884,-50.405753,-0.206585
0.455756,-0.032026,2,3.661626,-3.356616,-50.409025,-0.208273
0.459461,-0.031307,2,3.658350,-3.358349,-50.412298,-0.209960
0.463167,-0.031660,2,3.655075,-3.360081,-50.415571,-0.211648
0.466872,-0.031375,2,3.651800,-3.361814,-50.418843,-0.213335
0.470577,-0.030491,2,3.648524,-3.363546,-50.422116,-0.215023
0.474283,-0.029607,2,3.645249,-3.365279,-50.425389,-0.216710
0.477988,-0.029000,2,3.641974,-3.367011,-50.428661,-0.218398
0.481693,-0.029000,2,3.638698,-3.368744,-50.431934,-0.220085
0.485399,-0.029000,2,3.635423,-3.370476,-50.435207,-0.221773
0.489104,-0.029000,2,3.632148,-3.372209,-50.438479,-0.223460
0.492810,-0.027377,2,3.628872,-3.373941,-50.441752,-0.225148
0.496515,-0.024914,2,3.625597,-3.375674,-50.445025,-0.226835
0.500220,-0.022842,2,3.622322,-3.377406,-50.448297,-0.228523
0.503926,-0.020240,2,3.619046,-3.379139,-50.451570,-0.230210
0.507631,-0.016866,2,3.615771,-3.380871,-50.454843,-0.231898
0.511336,-0.013571,2,3.612495,-3.382604,-50.458115,-0.233585
0.515042,-0.010681,2,3.609220,-3.384336,-50.461388,-0.235273
0.518747,-0.009330,2,3.605945,-3.386069,-50.464661,-0.236960
0.522452,-0.008860,2,3.602669,-3.387801,-50.467933,-0.238648
0.526158,-0.008393,2,3.599394,-3.389534,-50.471206,-0.240336
0.529863,-0.008527,2,3.596119,-3.391266,-50.474478,-0.242023
0.533568,-0.007627,2,3.592843,-3.392999,-50.477751,-0.243711
0.537274,-0.005981,2,3.589568,-3.394731,-50.481024,-0.245398
0.540979,-0.005046,2,3.586293,-3.396464,-50.484296,-0.247086
0.544684,-0.004111,2,3.583017,-3.398196,-50.487569,-0.248773
0.548390,-0.002724,2,3.579742,-3.399929,-50.490842,-0.250461
0.552095,-0.001247,2,3.576467,-3.401661,-50.494114,-0.252148
0.555800,0.000183,2,3.573191,-3.403394,-50.497387,-0.253836
