id,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm,use_for_affine,residual_x_mm,residual_y_mm,error_mm
P1,0.430581,-0.554995,-38.000000,26.500000,yes,0.000194,0.000155,0.000249
P2,0.457490,-3.054795,-38.000000,24.000000,yes,-0.000159,-0.000123,0.000201
P3,0.484881,-5.554192,-38.000000,21.500000,yes,-0.000028,-0.000005,0.000028
P4,4.468660,-3.000031,-34.000000,24.000000,yes,-0.000021,-0.000021,0.000029
P6,3.940007,-0.507387,-34.500000,26.500000,yes,-0.000035,-0.000060,0.000070
P5,7.449612,-0.459532,-31.000000,26.500000,yes,-0.000083,-0.000032,0.000088
P7,6.496135,-4.972206,-32.000000,22.000000,yes,0.000131,0.000086,0.000156
