id,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm,use_for_affine,residual_x_mm,residual_y_mm,error_mm
P1,0.434242,-0.490766,-54.000000,16.500000,yes,0.005392,-0.008418,0.009997
P2,0.438103,-2.962312,-54.000000,14.000000,yes,0.004843,0.000395,0.004859
P3,0.430591,-5.439947,-54.000000,11.500000,yes,-0.007142,0.003238,0.007842
P4,4.406038,-2.903578,-50.000000,14.000000,yes,-0.008790,0.001631,0.008940
P5,3.911215,-0.422625,-50.500000,16.500000,yes,-0.001454,0.009471,0.009582
P6,7.393567,-0.383175,-47.000000,16.500000,yes,-0.002947,-0.001637,0.003372
P7,6.419141,-4.864939,-48.000000,12.000000,yes,0.010098,-0.004679,0.011129
