id,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm,use_for_affine,residual_x_mm,residual_y_mm,error_mm
P1,6.308211,-4.885398,-32.000000,29.000000,yes,0.000208,0.000170,0.000269
P2,4.299608,-2.923903,-34.000000,31.000000,yes,-0.000122,-0.000057,0.000135
P3,0.298042,-0.493050,-38.000000,33.500000,yes,0.000235,0.000231,0.000330
P4,0.322100,-2.981562,-38.000000,31.000000,yes,-0.000109,-0.000125,0.000166
P5,0.346532,-5.469650,-38.000000,28.500000,yes,-0.000072,-0.000062,0.000095
P6,3.778081,-0.442980,-34.500000,33.500000,yes,-0.000063,-0.000089,0.000109
P7,7.258398,-0.392568,-31.000000,33.500000,yes,-0.000077,-0.000069,0.000103
